"Original_country_name_in_FUBC_report","Original_crop_name_in_FUBC_report","Year","Year_for_FAO_area","FAO_area_ha","IFA_area_ha","FAO_area_used_Yes_No","IFA_N_t","IFA_P2O5_t","IFA_K2O_t","Comment","Survey_respondent"
"Iran","Roots and Tubers, Total","2018",2018,106426,NA,"Yes",28881.6763145234,3649.52477603168,1590.6422461625,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Seed cotton","2018",2018,44810,NA,"Yes",7248.75227962959,1099.1536953077,266.147331209385,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Iran","Soybeans","2018",2018,72000,NA,"Yes",995.485524128144,1006.32637660568,438.606488869259,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Sugar beet and sugar cane","2018",2018,207504,NA,"Yes",38310.0164033732,4747.20676266814,2722.45526233713,"Based on 2014 fertilizer application rates and 2018 FAO harvested area for all sugar crops","IFA estimates"
"Iran","Vegetables Primary","2018",2018,354935,NA,"Yes",51878.566541339,3814.07453955809,2523.2266993687,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Wheat","2018",2018,6684622,NA,"Yes",327860.527198846,36936.5799181594,4444.25688944408,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Grassland","2018",2018,29477000,NA,"Yes",60392.788463774,4415.2569773574,1120.01299836257,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Iran","Residual","2018",2018,1121968,NA,"Yes",34593.2721033219,2529.079877069,641.548691444421,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Pulses, Tea, Treenuts.","IFA estimates"
"Iran","Maize","2018",2018,90984,NA,"Yes",17177.0910575765,2068.91998094631,333.550676289855,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Ireland","Wheat","2017/18",2018,57980,58000,"No",11600,3654,5568,NA,"Fertilizers Europe"
"Ireland","Grain maize, including corn cob maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Ireland","Green maize","2017/18",2018,0,18000,"No",2880,1530,1980,"Silage maize (no maize for biogas in Ireland)","Fertilizers Europe"
"Ireland","Other cereals","2017/18",2018,202990,203000,"No",31760,12555,19560,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Ireland","Oilseed rape","2017/18",2018,10610,10000,"No",1800,430,700,NA,"Fertilizers Europe"
"Ireland","Other oil crops","2017/18",2018,0,0,"No",0,0,0,"Sunflower, soya, linseed","Fertilizers Europe"
"Ireland","Sugar beet","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Ireland","Fruits & Treenuts","2017/18",2018,960,0,"No",0,0,0,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Ireland","Vegetables","2017/18",2018,3550,5000,"No",300,500,500,NA,"Fertilizers Europe"
"Ireland","Pulses (peas, beans)","2017/18",2018,8500,8500,"No",170,255,552.5,NA,"Fertilizers Europe"
"Ireland","Potato","2017/18",2018,8230,9000,"No",1350,1800,1800,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Ireland","Total Grassland","2017/18",2018,4159000,4159000,"No",356230,83605,109050,NA,"Fertilizers Europe"
"Ireland","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Ireland","Other crops","2017/18",2018,NA,18000,"No",1955,1135,2310,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Croatia","Wheat","2017/18",2018,138460,156139,"No",20766.487,3591.197,3122.78,NA,"Fertilizers Europe"
"Croatia","Grain maize, including corn cob maize","2017/18",2018,235350,252567,"No",36622.215,5809.041,5051.34,NA,"Fertilizers Europe"
"Croatia","Green maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Croatia","Other cereals","2017/18",2018,85900,87766,"No",9215.43,1755.32,1755.32,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Croatia","Oilseed rape","2017/18",2018,55030,23122,"No",3237.08,924.88,693.66,NA,"Fertilizers Europe"
"Croatia","Other oil crops","2017/18",2018,137640,81973,"No",3278.92,2459.19,1639.46,"Sunflower, soya, linseed","Fertilizers Europe"
"Croatia","Sugar beet","2017/18",2018,14070,21900,"No",2847,1752,1752,NA,"Fertilizers Europe"
"Croatia","Fruits & Treenuts","2017/18",2018,53490,76000,"No",3040,2280,2280,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Croatia","Vegetables","2017/18",2018,7740,7769,"No",310.76,388.45,466.14,NA,"Fertilizers Europe"
"Croatia","Pulses (peas, beans)","2017/18",2018,2540,1799,"No",0,35.98,35.98,NA,"Fertilizers Europe"
"Croatia","Potato","2017/18",2018,9270,10310,"No",1340.3,824.8,824.8,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Croatia","Total Grassland","2017/18",2018,672000,273000,"No",19110,6825,8190,NA,"Fertilizers Europe"
"Croatia","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Croatia","Other crops","2017/18",2018,NA,36196,"No",2687.84,827.84,1085.88,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Israel","non irrigated winter crops (mainly wheat)","2018",2018,NA,200000,"No",12000,2000,1000,NA,"ICL"
"Israel","irrigated field crops","2018",2018,NA,30000,"No",6000,1000,3000,NA,"ICL"
"Israel","open field vegetables","2018",2018,NA,30000,"No",8000,2000,6000,NA,"ICL"
"Israel","covered vegetables","2018",2018,NA,7000,"No",2000,1000,3000,NA,"ICL"
"Israel","orchards","2018",2018,NA,50000,"No",10000,1000,8000,NA,"ICL"
"Israel","citrus","2018",2018,22561,20000,"No",5000,2000,5000,NA,"ICL"
"Israel","non irrigated olives","2018",2018,NA,20000,"No",1000,200,400,NA,"ICL"
"Israel","irrigated olives","2018",2018,NA,10000,"No",1500,300,1000,NA,"ICL"
"Israel","flowers","2018",2018,NA,6000,"No",1500,500,1000,NA,"ICL"
"Israel","fresh herbs","2018",2018,NA,2000,"No",600,300,600,NA,"ICL"
"Israel","Wheat","2018",2018,52900,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Maize, green","2018",2018,3240,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Other cereals","2018",2018,4936,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Cotton","2018",2018,6456,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Other Oil Crops","2018",2018,40854,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","vegetables","2018",2018,92643,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Fruits","2018",2018,74786,NA,"No",NA,NA,NA,"excluding citrus fruits","ICL"
"Israel","Treenuts","2018",2018,425,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Olives","2018",2018,33700,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Pulses","2018",2018,8706,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Roots and tubers","2018",2018,17692,NA,"No",NA,NA,NA,NA,"ICL"
"Israel","Maize","2018",2018,3310,NA,"No",NA,NA,NA,NA,"ICL"
"Italy","Wheat","2017/18",2018,1821730,1915000,"No",199160,55535,3830,NA,"Fertilizers Europe"
"Italy","Grain maize, including corn cob maize","2017/18",2018,591210,293000,"No",56842,14650,13771,NA,"Fertilizers Europe"
"Italy","Green maize","2017/18",2018,0,470000,"No",70090,3010,6350,"Silage maize + Maize for biogas","Fertilizers Europe"
"Italy","Other cereals","2017/18",2018,679760,703000,"No",53870,12040,14775,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Italy","Oilseed rape","2017/18",2018,14440,16000,"No",1040,160,80,NA,"Fertilizers Europe"
"Italy","Other oil crops","2017/18",2018,1572580,513000,"No",17955,2565,1539,"Sunflower, soya, linseed","Fertilizers Europe"
"Italy","Sugar beet","2017/18",2018,34410,45000,"No",4050,2925,2250,NA,"Fertilizers Europe"
"Italy","Fruits & Treenuts","2017/18",2018,1409082,2270000,"No",128000,28000,32000,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Italy","Vegetables","2017/18",2018,323390,440000,"No",41800,28600,29920,NA,"Fertilizers Europe"
"Italy","Pulses (peas, beans)","2017/18",2018,106630,83000,"No",0,830,332,NA,"Fertilizers Europe"
"Italy","Potato","2017/18",2018,46430,50000,"No",5000,2850,4500,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Italy","Total Grassland","2017/18",2018,5456000,3140000,"No",10950,3650,1460,NA,"Fertilizers Europe"
"Italy","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Italy","Other crops","2017/18",2018,NA,1651000,"No",10635,10280,3913,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Japan","Wheat","2018/19",2019,211600,212000,"No",30936,26619,15544,NA,"JAFA"
"Japan","Rice","2018/19",2019,1542000,1470000,"No",85844,101566,97052,NA,"JAFA"
"Japan","Maize (Green)","2018/19",2019,22176,95000,"No",11995,15312,8345,NA,"JAFA"
"Japan","Other Cereals","2018/19",2019,105118,125000,"No",9144,10792,9315,NA,"JAFA"
"Japan","Soybeans","2018/19",2019,143500,147000,"No",2568,19732,8603,NA,"JAFA"
"Japan","Sugar Beet","2018/19",2019,56700,57000,"No",8923,7712,6305,NA,"JAFA"
"Japan","Sugar Cane","2018/19",2019,21289,28000,"No",6740,2983,1422,NA,"JAFA"
"Japan","Tea","2018/19",2019,40600,42000,"No",16157,5213,6089,NA,"JAFA"
"Japan","Roots & Tubers","2018/19",2019,129046,196000,"No",20974,29051,22246,NA,"JAFA"
"Japan","Fruits & Tree-nuts","2018/19",2019,240330,200000,"No",30805,18342,16999,NA,"JAFA"
"Japan","Vegetables","2018/19",2019,370179,319000,"No",49126,49668,39246,NA,"JAFA"
"Japan","Grassland","2018/19",2019,NA,787000,"No",65773,20466,13867,NA,"JAFA"
"Japan","Flowers","2018/19",2019,NA,13000,"No",3090,2349,2222,NA,"JAFA"
"Japan","Residual","2018/19",2019,NA,359000,"No",26925,28195,22743,NA,"JAFA"
"Latvia","Wheat","2017/18",2018,417200,420000,"No",56700,9660,17640,NA,"Fertilizers Europe"
"Latvia","Grain maize, including corn cob maize","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Latvia","Green maize","2017/18",2018,0,26000,"No",2080,416,780,"Silage maize (no maize for biogas in Latvia)","Fertilizers Europe"
"Latvia","Other cereals","2017/18",2018,262600,271000,"No",23140,4776,7284,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Latvia","Oilseed rape","2017/18",2018,121800,124000,"No",15500,2728,5580,NA,"Fertilizers Europe"
"Latvia","Other oil crops","2017/18",2018,900,2000,"No",70,34,60,"Sunflower, soya, linseed","Fertilizers Europe"
"Latvia","Sugar beet","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Latvia","Fruits & Treenuts","2017/18",2018,6300,10000,"No",500,100,200,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Latvia","Vegetables","2017/18",2018,2200,8000,"No",640,160,240,NA,"Fertilizers Europe"
"Latvia","Pulses (peas, beans)","2017/18",2018,51900,54000,"No",1620,918,1512,NA,"Fertilizers Europe"
"Latvia","Potato","2017/18",2018,9900,22000,"No",1870,660,1540,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Latvia","Total Grassland","2017/18",2018,635000,650000,"No",6500,1100,1600,NA,"Fertilizers Europe"
"Latvia","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Latvia","Other crops","2017/18",2018,NA,177000,"No",6950,2755,4200,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Lithuania","Wheat","2017/18",2018,772890,773000,"No",73435,18552,20098,NA,"Fertilizers Europe"
"Lithuania","Grain maize, including corn cob maize","2017/18",2018,13390,13000,"No",1248,273,299,NA,"Fertilizers Europe"
"Lithuania","Green maize","2017/18",2018,0,28000,"No",2352,448,672,"Silage maize (no maize for biogas in Lithuania)","Fertilizers Europe"
"Lithuania","Other cereals","2017/18",2018,470950,498000,"No",33651,10246,11673,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Lithuania","Oilseed rape","2017/18",2018,205320,209000,"No",20900,4807,7524,NA,"Fertilizers Europe"
"Lithuania","Other oil crops","2017/18",2018,8400,3000,"No",105,51,72,"Sunflower, soya, linseed","Fertilizers Europe"
"Lithuania","Sugar beet","2017/18",2018,15540,16000,"No",1600,624,1152,NA,"Fertilizers Europe"
"Lithuania","Fruits & Treenuts","2017/18",2018,22770,30000,"No",510,300,420,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Lithuania","Vegetables","2017/18",2018,8640,14000,"No",490,238,350,NA,"Fertilizers Europe"
"Lithuania","Pulses (peas, beans)","2017/18",2018,188040,206000,"No",3502,3502,5356,NA,"Fertilizers Europe"
"Lithuania","Potato","2017/18",2018,18690,17000,"No",1547,595,1173,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Lithuania","Total Grassland","2017/18",2018,1001000,894000,"No",28688,7172,9128,NA,"Fertilizers Europe"
"Lithuania","Fertilized forests","2017/18",2018,NA,0,"No",0,0,0,NA,"Fertilizers Europe"
"Lithuania","Other crops","2017/18",2018,NA,91000,"No",1863,1504,2248,"Tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Malaysia","Fruit Primary","2018",2018,87501,NA,"Yes",14599.8681197379,14039.965088985,6519.60047072521,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Oil palm fruit","2018",2018,5189344,NA,"Yes",398523.776149484,182711.422247684,1338733.30061191,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Rice, paddy","2018",2018,699980,NA,"Yes",64199.0978700864,27928.6749186029,68032.1078918951,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Roots and Tubers, Total","2018",2018,5051,NA,"Yes",379.054349499049,182.576289182859,527.489302477884,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Sugar cane","2018",2018,1400,NA,"Yes",337.096462584592,162.366745868241,469.101009265572,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Vegetables Primary","2018",2018,55558,NA,"Yes",9380.58548899284,7617.59928938077,4421.63705519167,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Malaysia","Residual","2018",2018,261173,NA,"Yes",7070.00403365675,3501.08916426606,11537.5962776392,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Cocoa, Coffee, Other Oil Crops, Tea and Treenuts.","IFA estimates"
"Malaysia","Maize","2018",2018,9548,NA,"Yes",710.517525958665,456.306256030247,659.167380898568,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mali","Maize","2017/18",2017,1233008,1232600,"No",63798,14452,14452,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Cotton","2017/18",2017,703652,703700,"No",35790,29491,24340,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Rice","2017/18",2017,767874,767900,"No",36820,16301,1391,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Mil - Sorghum","2017/18",2017,3741715,3741700,"No",2444,2444,2444,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Sugar cane","2017/18",2017,5053,4800,"No",1164,445,677,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Wheat","2017/18",2017,4496,7000,"No",324,135,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Pulses","2017/18",2017,470852,1091100,"No",948,1978,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Fruits and vegetables","2017/18",2017,326904,183600,"No",6340,1230,1640,"FAO area for Fruits, vegetables, citrus fruits","AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Roots and Tubers, Total","2017/18",2017,82682,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Sugar beet","2017/18",2017,470,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Tea","2017/18",2017,97,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Treenuts, Total","2017/18",2017,41139,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Soybeans","2017/18",2017,13874,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Other cereals","2017/18",2017,56198,NA,"No",NA,NA,NA,"I subtracted mil and sorghum from FAO area","AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mali","Other Oil Crops","2017/18",2017,475350,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Mexico","Fruit Primary","2018",2018,1514399,NA,"Yes",169521.962175864,114194.75554262,93511.1153200172,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Oil palm fruit","2018",2018,72841,NA,"Yes",9934.08885598604,8476.3829786851,5784.24130520179,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Other cereals","2018",2018,1717278,NA,"Yes",35374.1688669549,5659.39552715578,411.940605049309,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Other Oil Crops","2018",2018,383628,NA,"Yes",7161.08910081387,1833.08609303639,250.177754402902,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Includes Rapeseed.","IFA estimates"
"Mexico","Rice, paddy","2018",2018,45150,NA,"Yes",7818.16289857972,4002.56594512999,2458.19786486166,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Roots and Tubers, Total","2018",2018,72931,NA,"Yes",8871.03483201019,4827.3472991055,5398.17338754233,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Seed cotton","2018",2018,240580,NA,"Yes",13982.4370968171,8948.01427132731,4884.86411035434,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Mexico","Soybeans","2018",2018,190628,NA,"Yes",0,6895.44635433013,2823.25084089393,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Sugar cane and Sugar beet","2018",2018,786151,NA,"Yes",98494.2647213302,46498.3363925759,78973.021734704,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Vegetables Primary","2018",2018,703734,NA,"Yes",82963.996948052,57919.1289153224,44793.5533940826,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Wheat","2018",2018,541345,NA,"Yes",61133.7132524873,10703.2754469111,2417.83003893207,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Grassland","2018",2018,80279000,NA,"Yes",0,0,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Mexico","Residual","2018",2018,3373220,NA,"Yes",125842.907321208,51953.236327024,24486.6651194098,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Cocoa, Coffee, Maize green, Pulses and Treenuts.","IFA estimates"
"Mexico","Maize","2018",2018,7122562,NA,"Yes",878802.173929898,184389.028906776,23906.9685245479,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Morocco","Maize","2018",2019,63292,NA,"Yes",4680.61089520331,2385.32393306313,480.69138028862,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Wheat","2018",2019,2505987,NA,"Yes",77680.0477007099,46307.2968404969,12764.969648628,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Rice","2018",2019,7973,NA,"Yes",887.104939851907,301.100753502163,162.911191626116,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Oth Cereals","2018",2019,1076488,NA,"Yes",24188.8030761821,11897.1367081922,2345.83500182979,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Oth Oilseeds","2018",2019,1113240,NA,"Yes",8039.37188743841,6558.15704558884,2987.97797679793,"Based on 2014 fertilizer application rates and 2019 FAO harvested area. Includes Rapeseed.","IFA estimates"
"Morocco","Sugar beet and Sugar cane","2018",2019,68477,NA,"Yes",10681.0988951622,5718.01046792288,5033.28981641737,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Roots/Tubers","2018",2019,62943,NA,"Yes",5801.16636802118,4259.09692443324,4373.92472667455,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Fruits","2018",2019,461501,NA,"Yes",43482.8261472608,27461.6738225227,46533.3940255206,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Vegetables","2018",2019,142944,NA,"Yes",19475.0073987727,13617.2852563327,13285.1946462198,"Based on 2014 fertilizer application rates and 2019 FAO harvested area","IFA estimates"
"Morocco","Residual","2018",2019,739340,NA,"Yes",16583.9626913974,13594.9182479453,2031.81158599721,"Based on 2014 fertilizer application rates and 2019 FAO harvested area. The residual area includes Citrus Fruit, Cotton, Soybeans, Pulses and Treenuts.","IFA estimates"
"Myanmar","Maize Grain","2017",2017,500630,347215,"No",4847.801,3161.61,5058.575,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Wheat","2017",2017,65448,65474,"No",914.1453,596.1817,397.4545,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Rice","2017",2017,6945982,7259228,"No",135137.4,66099.81,88133.08,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Maize, Green (silage, bioenergy)","2017",2017,NA,504673,"No",4697.482,2297.682,3063.575,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Other Cereals","2017",2017,447148,9615,"No",89.49616,43.77529,58.36706,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Soybeans","2017",2017,139743,139859,"No",1301.804,1910.255,3396.01,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Oil Palm","2017",2017,NA,162104,"No",1207.088,1180.847,1180.847,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Rapeseed / Canola","2017",2017,NA,2283,"No",17.00008,20.78814,13.85876,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Other Oil Crops","2017",2017,2899745,309534,"No",2132.039,1240.14,450.9601,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Cotton","2017",2017,183904,224623,"No",2718.02,613.5999,818.1331,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Sugar Beet","2017",2017,NA,NA,"No",0,0,0,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Sugar Cane","2017",2017,163256,294855,"No",5489.004,4027.259,14319.14,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Tea","2017",2017,88808,96566,"No",107.86,633.0915,1172.392,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Coffee","2017",2017,12394,19667,"No",36.61198,268.6205,238.7738,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Cocoa","2017",2017,NA,NA,"No",0,0,0,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Roots & Tubers (Potato)","2017",2017,32705,32725,"No",609.2068,595.9632,397.3088,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Roots & Tubers (Total)","2017",2017,74044,NA,"No",NA,NA,NA,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Fruits & Treenuts","2017",2017,491056,610098,"No",3407.265,1111.065,3999.833,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Vegetables","2017",2017,379657,551937,"No",7706.122,2613.38,12061.76,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Pulses","2017",2017,4355336,4441085,"No",9920.999,32351.08,26959.24,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
"Myanmar","Grassland","2017",2017,NA,NA,"No",0,0,0,NA,"Myanmar Agriculture at a Glance published by Department of Planning of Ministry of Agriculture, Livestock and Irrigation (data provided by Dr. Su Su Win, Department of Agricultural Research (DAR) of Myanmar)"
